CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,173.581154108,45.432540953,0.6994650803,282,,-0.02451684018,326,106,0.6749482402,483,-0.03505084224,964361,DashPass Aided Awareness (DD users),0.5183363626,22237599,Site All Hits: YouTube,Site All Hits
1,97.823959887,57.333674014,0.3941928161,282,,-0.05050751591,166,100,0.3436853002,483,-0.1281289609,964362,Unaided Brand Awareness (Any Mention) - Uber Eats,0.8390932733,22237599,Site All Hits: YouTube,Site All Hits
1,57.394077957,85.97224462,0.2312759905,282,,-0.03044783316,97,130,0.2008281573,483,-0.131651509,964363,Unaided Brand Awareness (Any Mention) - Instacart,0.6797249408,22237599,Site All Hits: YouTube,Site All Hits
1,32.54050684,99.506903052,0.1311256879,282,,-0.02346523237,52,164,0.1076604555,483,-0.1789522156,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0.6712354829,22237599,Site All Hits: YouTube,Site All Hits
1,76.358167946,150.000600278,0.3373324945,256,,-0.00218263078,123,244,0.3351498638,367,-0.006470265437,1009176,DashPass Actions – Talked to others,0.04525004622,22237599,Site All Hits: YouTube,Site All Hits
1,49.564771771,169.44892329,0.1997269073,282,,0.02801636396,110,322,0.2277432712,483,0.140273358,1022757,First Choice Consideration,0.6352042529,22237599,Site All Hits: YouTube,Site All Hits
1,168.598060369,79.564655662,0.6793851351,282,,0.01626703876,336,147,0.6956521739,483,0.0239437661,1059334,More than Restaurant Consideration,0.3610502665,22237599,Site All Hits: YouTube,Site All Hits
1,0,0,0,0,,0,0,0,0,0,0,2,Aided Awareness,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,109095,Unaided Brand Awareness (First Mention),0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955538,Brand Familiarity,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
